VARIABLES= "x" , "y" , "phir","phii","pr","pi" 
ZONE F=FEPOINT,ET=TRIANGLE,N=4436,E=8613
0 -1 -1.97042e-11 -5.11259 -34.7492 3.10827e-11 
0.0201982 -0.999796 -34.7492 3.10827e-11 -34.6747 4.11635e-11 
0 -0.979966 -2.56755 -7.19247e-12 -32.4181 4.67466e-11 
0.220709 -0.97534 -1.97335e-11 -5.10965 -28.4424 -8.12825e-11 
0.20093 -0.979606 -1.68001e-11 -4.94007 -29.4922 1.16422e-11 
0.181068 -0.983471 -1.91889e-11 -5.09358 -30.4581 6.41531e-11 
0.0269485 -0.986111 -1.96658e-11 -5.10453 -33.0679 5.57154e-11 
0.0404227 -0.999183 -34.6747 4.11635e-11 -34.5258 7.45626e-11 
0.0134742 -0.973039 -2.56213 -7.28528e-12 -31.6298 4.91465e-11 
0 -0.959967 -1.74964e-11 -4.98474 -30.2276 4.1311e-11 
0 -0.939968 -1.55618e-11 -4.87667 -28.1379 2.96634e-11 
0.240397 -0.970675 -1.68274e-11 -4.93723 -27.31 -1.71967e-10 
0.259987 -0.965612 -1.13989e-11 -4.60827 -26.1025 -2.43118e-10 
0.279471 -0.960154 -1.39697e-11 -4.77189 -24.8261 -2.8647e-10 
0.337204 -0.941432 -32.4181 4.67466e-11 -20.6339 -3.19937e-10 
0.29884 -0.954303 1.43194 3.88911e-12 -23.4854 -2.3157e-10 
0.318087 -0.948061 -1.3068e-11 -4.71427 -22.0858 -3.04742e-10 
0.224371 -0.959294 2.09428e-11 -4.10337 -26.662 -1.13481e-10 
0.204944 -0.962814 1.89873e-11 -4.18592 -27.6008 -4.72458e-11 
0.208344 -0.945248 -28.4424 -8.12825e-11 -25.7321 -8.10294e-11 
0.185473 -0.965788 -2.09325 -8.28548e-12 -28.4412 3.52074e-12 
0.100964 -0.99489 1.66211e-11 -4.26401 -33.3892 1.02325e-10 
0.121072 -0.992644 1.9015e-11 -4.05352 -32.802 1.08622e-10 
0.141132 -0.989991 1.71398e-11 -4.12421 -32.1154 8.52705e-11 
0.161133 -0.986933 1.71139e-11 -3.99384 -31.3351 8.21085e-11 
0.165979 -0.971512 1.42264e-11 -4.34057 -29.5299 4.135e-11 
0 -0.919968 -29.4922 1.16422e-11 -26.1667 1.46407e-11 
0.0303153 -0.969064 -2.17203 -8.12339e-12 -31.1448 5.06226e-11 
0.0808138 -0.996729 1.16451e-11 -4.41245 -33.8622 1.07436e-10 
0.0865404 -0.98133 1.26306e-11 -4.26319 -32.0378 8.16875e-11 
0.045473 -0.983612 1.47999e-11 -4.19986 -32.6821 6.79545e-11 
0.0606306 -0.99816 6.0365e-12 -4.54803 -34.2367 8.91482e-11 
0.0151577 -0.954516 7.61569e-12 -4.41456 -29.6351 3.90461e-11 
