VARIABLES= "x" , "y" , "phir","phii","pr","pi" 
ZONE F=FEPOINT,ET=TRIANGLE,N=204,E=353
0 1 -1.86517e-14 3.04985 13.4368 5.50671e-14 
0.0963444 0.995348 13.4368 5.50671e-14 13.1677 2.30926e-14 
0 0.898486 1 0 11.626 7.4607e-14 
0.193138 0.981171 -2.38698e-14 3.03321 12.6949 8.26006e-14 
0.508331 0.861162 -8.99281e-15 2.83901 9.82318 7.59393e-14 
0.450715 0.892084 -1.68754e-14 2.74451 10.2654 -1.33227e-15 
0.28824 0.957558 -1.84297e-14 2.88959 11.899 4.57412e-14 
0.380573 0.92475 12.6949 8.26006e-14 10.9522 -3.55271e-15 
0.1906 0.903701 0.841994 -2.22045e-16 11.4651 1.37668e-14 
0.0633669 0.85848 -1.63203e-14 2.95203 11.0006 5.01821e-14 
0 0.79857 -2.30926e-14 2.80116 10.1804 2.30926e-14 
0.508417 0.861111 -1.44329e-14 2.66636 9.87093 5.32907e-15 
0.460829 0.836639 -8.21565e-15 2.60152 9.86238 3.15303e-14 
0.412049 0.811379 -1.37668e-14 2.54437 9.73778 2.22045e-14 
0.303222 0.858489 -1.86517e-14 2.70974 10.5261 6.66134e-14 
0.565742 0.824158 11.899 4.57412e-14 9.89203 -2.66454e-15 
0.357237 0.783092 0.665935 7.24421e-15 9.58166 3.5083e-14 
0.187294 0.809924 -2.04281e-14 2.27996 10.1971 -1.42109e-14 
0.0709267 0.762361 -1.29896e-14 2.24336 9.69173 -3.9968e-15 
0 0.698653 9.82318 7.59393e-14 8.90304 -3.19744e-14 
0.49068 0.780992 0 0 9.49278 1.82077e-14 
0.413638 0.736688 -2.0095e-14 2.24663 9.10115 2.30926e-14 
0.263297 0.782623 -6.66134e-15 2.24333 9.73616 5.15143e-14 
0.634822 0.772658 -1.5099e-14 2.2871 9.99619 3.9968e-14 
0.544133 0.719264 -7.77156e-15 2.4964 9.1138 1.82077e-14 
0.334371 0.731967 10.9522 -3.55271e-15 9.09164 -1.68754e-14 
0.710369 0.703828 0.430836 2.52576e-15 9.8238 8.92619e-14 
0.228643 0.716773 -1.87628e-14 2.4543 9.01223 1.90958e-14 
0.149835 0.727091 -9.21485e-15 2.28574 9.19778 -1.9984e-14 
0.0841513 0.642163 -6.88338e-15 2.33589 8.21428 5.10703e-14 
0 0.598736 10.2654 -1.33227e-15 7.72477 1.77636e-14 
0.453444 0.665871 0.209105 1.249e-16 8.43104 4.9738e-14 
0.362755 0.655298 -6.32827e-15 2.34701 8.27154 5.28466e-14 
0.621573 0.665712 -2.44249e-15 2.41192 8.86269 1.82077e-14 
0.532777 0.627597 -1.15463e-14 2.30183 8.14481 3.9968e-14 
0.253889 0.644822 -1.26565e-14 3.00751 8.18686 -2.66454e-15 
0.681185 0.599054 13.1677 2.30926e-14 8.24952 6.26166e-14 
0.778498 0.627647 0.95269 1.07137e-14 9.15896 2.62013e-14 
0.838494 0.544909 -1.86517e-14 2.82579 7.96885 2.17604e-14 
0.171155 0.597245 -1.42109e-14 2.80089 7.67157 2.88658e-14 
0.0862004 0.54839 -1.70974e-14 2.74219 7.13712 1.86517e-14 
0 0.498819 -2.04281e-14 2.64872 6.58639 3.77476e-14 
0.443981 0.589481 11.626 7.4607e-14 7.5858 3.41949e-14 
0.272066 0.559083 -0.537828 -2.2482e-15 7.21352 5.24025e-14 
0.355185 0.551365 -1.80966e-14 2.47787 7.12359 5.63993e-14 
0.583873 0.545481 -1.29896e-14 2.57723 7.24943 4.44089e-14 
0.486561 0.504399 -1.78746e-14 2.28399 6.61758 3.86358e-14 
0.652162 0.49026 -7.10543e-15 2.61046 6.57661 5.24025e-14 
0.745328 0.517585 11.4651 1.37668e-14 7.19109 2.4869e-14 
0.889733 0.456481 -0.347675 1.40166e-15 6.30141 -7.54952e-15 
0.790873 0.438981 -1.02141e-14 2.30828 5.86943 5.9952e-15 
0.46583 0.43561 -6.66134e-16 2.46028 5.74591 3.01981e-14 
0.177592 0.475134 -1.09912e-14 2.3654 6.2921 6.17284e-14 
0.0887962 0.437018 -3.9968e-15 2.56482 5.89767 1.90958e-14 
0 0.398903 -1.17684e-14 2.50197 5.49639 -2.42029e-14 
0.389249 0.463316 -2.33147e-14 2.39785 6.08644 4.15223e-14 
0.291937 0.484682 10.5261 6.66134e-14 6.36054 3.95239e-14 
0.593155 0.403982 -0.120286 4.57967e-16 5.28892 5.35127e-14 
0.692014 0.421482 -7.21645e-15 2.2433 5.52755 5.9508e-14 
0.828158 0.345038 9.87093 5.32907e-15 4.08723 5.19584e-14 
0.931678 0.363284 0 0 4.28192 3.55271e-14 
0.724638 0.326792 -8.43769e-15 2.23826 3.9454 6.43929e-14 
0.491714 0.362955 -1.40998e-14 2.24346 4.78896 3.88578e-14 
0.395437 0.368984 9.86238 3.15303e-14 4.96429 5.19584e-14 
0.194624 0.381151 -0.0192676 6.75415e-15 5.25002 1.77636e-14 
0.093166 0.326311 -8.77076e-15 2.23485 4.72032 1.55431e-15 
0 0.298986 -2.08722e-14 2.24658 4.46968 -6.66134e-15 
0.296578 0.351484 1.33227e-15 2.19925 4.85408 4.996e-14 
0.517599 0.2903 -5.10703e-15 2.21371 3.81665 7.01661e-14 
