VARIABLES= "x" , "y" , "phir","phii","pr","pi" 
ZONE F=FEPOINT,ET=TRIANGLE,N=1493,E=2817
0 3 -2.84217e-14 14.0548 59.1714 8.84626e-13 
0 2.90037 59.1714 8.84626e-13 59.2243 7.6561e-13 
0.100182 2.99833 -2.39225e-13 -4.71574e-14 59.0802 5.64881e-13 
0.200316 2.9933 -2.30926e-13 14.06 58.9755 5.32907e-13 
0.300227 2.98494 -1.6831e-13 14.0524 58.7677 4.88498e-13 
0.0750567 2.84683 -1.94067e-13 13.9927 59.3117 9.91207e-13 
0 2.8008 -4.57412e-14 14.0118 59.5121 8.11795e-13 
0.150113 2.89287 -9.63674e-14 14.0288 59.1328 8.61533e-13 
0.22517 2.91401 -2.26041e-13 14.0325 58.9719 5.8975e-13 
0.319842 2.89893 -1.36335e-13 14.0151 58.7515 3.8014e-13 
0.399802 2.97324 58.9755 5.32907e-13 58.4762 7.92255e-13 
0.159921 2.81004 2.39225e-13 4.71574e-14 59.3335 9.57456e-13 
0.0799604 2.75563 -5.32907e-14 14.045 59.6663 8.01137e-13 
0 2.70123 59.0802 5.64881e-13 60 6.89226e-13 
0.239881 2.82461 0 0 59.117 7.10543e-13 
0.415776 2.89879 -2.5846e-13 14.0573 58.4273 1.08002e-12 
0.356379 2.8279 -6.61693e-14 14.0442 58.7544 7.22977e-13 
0.498931 2.95822 -2.17604e-13 14.0587 58.1017 6.75016e-13 
0.16631 2.72052 -3.01537e-13 14.0867 59.7135 1.29674e-12 
0.0799604 2.67598 -1.06581e-13 14.1022 60.1206 1.31628e-12 
0 2.60166 -2.70006e-13 14.0755 60.7429 1.19016e-12 
0.285103 2.76274 59.2243 7.6561e-13 59.208 7.83373e-13 
0.448127 2.80555 2.39225e-13 4.71574e-14 58.4257 1.03384e-12 
0.512145 2.87735 -1.86517e-14 13.9654 58.0367 1.42464e-12 
0.373439 2.73838 58.7677 4.88498e-13 58.9654 9.45022e-13 
0.597503 2.9399 2.39225e-13 4.71574e-14 57.644 1.09068e-12 
0.695407 2.91829 -2.35367e-14 13.9602 57.1071 1.46727e-12 
0.256073 2.68972 -2.09166e-13 13.9331 59.6496 9.45022e-13 
0.170715 2.62718 -5.50671e-14 13.9876 60.3138 9.7522e-13 
0.0853575 2.56464 -2.00728e-13 14.014 61.0287 1.22569e-12 
0 2.5021 58.9719 5.8975e-13 61.7922 8.43769e-13 
0.540872 2.80368 -5.25607e-13 1.4491e-13 57.966 1.16707e-12 
0.463605 2.71318 4.17444e-14 13.9903 58.617 1.3074e-12 
0.618139 2.86098 -2.5091e-13 14.0346 57.4988 1.55786e-12 
0.30907 2.63176 -2.22045e-15 14.0272 59.8162 1.16884e-12 
0.386337 2.64481 -3.04201e-13 14.0754 59.3767 1.1795e-12 
0.713281 2.83438 -1.13687e-13 14.0725 56.9266 1.26654e-12 
0.792534 2.89342 -2.04281e-13 14.0529 56.4865 1.19904e-12 
0.888777 2.86532 59.1328 8.61533e-13 55.7861 1.91669e-12 
0.984026 2.83402 -2.39225e-13 -4.71574e-14 55.0118 1.90603e-12 
0.231802 2.57445 -1.11466e-13 14.0515 60.5805 9.64562e-13 
0.154535 2.51714 -6.92779e-14 14.1327 61.3978 9.21929e-13 
0.0772674 2.45984 -1.01252e-13 14.1006 62.2658 8.65086e-13 
0 2.40253 -2.27374e-13 14.0977 63.175 8.79297e-13 
0.554774 2.68641 59.3117 9.91207e-13 58.1805 1.45128e-12 
0.634027 2.75542 -2.39225e-13 -4.71574e-14 57.4913 1.3749e-12 
0.484787 2.56445 -2.10054e-13 14.1197 59.3172 9.41469e-13 
0.313042 2.55558 -1.34559e-13 14.1607 60.4198 8.3844e-13 
0.396267 2.54841 1.59872e-14 14.141 60.0415 7.49623e-13 
0.807979 2.80515 59.5121 8.11795e-13 56.2762 1.37845e-12 
0.72565 2.75537 -1.76889e-12 1.48348e-13 56.8738 1.05338e-12 
0.902024 2.77317 -1.12799e-13 14.1928 55.5374 1.36779e-12 
0.99524 2.74604 -2.02061e-13 13.8879 54.7266 1.81899e-12 
1.07818 2.79956 -1.7053e-13 13.926 54.1616 1.36069e-12 
1.17112 2.76197 -2.54463e-13 13.8538 53.2343 1.49925e-12 
1.26276 2.72129 -6.75016e-14 13.8959 52.2387 1.22036e-12 
1.35299 2.67758 58.4762 7.92255e-13 51.1698 1.66089e-12 
0.234781 2.49242 -5.25607e-13 1.4491e-13 61.4302 1.13687e-12 
0.158507 2.42105 -1.64757e-13 13.9254 62.6427 1.43885e-12 
0.0792534 2.36201 9.76996e-15 13.96 63.776 9.18376e-13 
0 2.30296 -1.79856e-13 13.9615 64.9738 1.22213e-12 
0.656018 2.62381 58.7515 3.8014e-13 57.7004 9.91207e-13 
0.574015 2.57126 4.78449e-13 9.43147e-14 58.6268 8.40217e-13 
0.73802 2.67637 -1.14131e-13 14.0025 56.8906 9.20153e-13 
0.410011 2.46616 -2.20268e-13 13.7963 60.7238 1.23812e-12 
0.580557 2.47845 -1.7808e-13 13.844 59.2425 1.19726e-12 
0.492013 2.46892 -2.85105e-13 13.7548 60.0867 9.85878e-13 
0.317014 2.4794 -1.4122e-13 13.8067 61.1705 5.98632e-13 
0.820022 2.72892 58.1017 6.75016e-13 56.1693 1.42464e-12 
0.912304 2.69252 -2.39225e-13 -4.71574e-14 55.3933 1.63425e-12 
1.08747 2.70073 -1.79412e-13 14.0092 53.8089 1.32694e-12 
1.00382 2.6395 -8.92619e-14 14.0489 54.5228 1.66089e-12 
1.17858 2.66685 59.117 7.10543e-13 52.8479 1.53477e-12 
1.26843 2.62927 1.96095e-12 1.38034e-13 51.8158 1.30385e-12 
1.3569 2.57644 -2.75779e-13 14.1 50.667 1.43885e-12 
1.44171 2.63087 59.3335 9.57456e-13 50.0381 1.07647e-12 
0.23776 2.4104 -5.25607e-13 1.4491e-13 62.4604 1.247e-12 
0.158507 2.3414 -2.16271e-13 14.0577 63.9105 9.98313e-13 
0.0820022 2.25595 -1.98064e-13 14.1129 65.8628 1.08535e-12 
0 2.20339 -1.8785e-13 14.0761 67.2491 9.07718e-13 
0.74643 2.55485 -9.23706e-14 14.1401 57.1942 1.35181e-12 
0.663494 2.49367 -1.18572e-13 14.1389 58.3375 1.1724e-12 
0.829367 2.61603 -9.19265e-14 14.2184 56.2135 1.05516e-12 
0.414683 2.37142 -7.4607e-14 14.1868 61.8881 6.07514e-13 
0.328009 2.34722 -2.80664e-13 14.2283 62.9092 9.80549e-13 
0.49762 2.37132 -1.02141e-13 14.1785 61.1312 9.3614e-13 
0.627015 2.40933 59.6663 8.01137e-13 59.4066 7.22977e-13 
0.920168 2.57827 4.20829e-12 8.40014e-14 55.3888 1.16884e-12 
1.09439 2.61241 -1.05693e-13 14.275 53.5804 1.29141e-12 
1.01021 2.55797 -3.04645e-13 14.3392 54.457 1.39266e-12 
1.18387 2.58097 -1.55875e-13 14.2585 52.5694 1.04805e-12 
1.27209 2.53372 60 6.89226e-13 51.4581 1.32694e-12 
1.35895 2.48393 1.96095e-12 1.38034e-13 50.2704 9.91207e-13 
1.47627 2.49609 -3.9968e-14 13.9202 48.9357 1.00009e-12 
1.52881 2.58123 -2.61569e-13 13.8846 48.8427 9.39693e-13 
1.61421 2.5287 58.4273 1.08002e-12 47.5798 7.30083e-13 
0.926025 2.50353 1.24328e-12 -3.43777e-15 55.4811 1.6307e-12 
0.24881 2.26438 -1.85629e-13 13.8812 64.9689 7.88702e-13 
0.165873 2.21086 -2.12719e-13 13.8405 66.6578 1.09068e-12 
0.0829367 2.15734 -1.803e-13 13.9259 68.3799 1.29319e-12 
0 2.10382 -4.88498e-15 13.9833 70.1079 9.07718e-13 
0.752865 2.4558 -1.07914e-13 14.0128 57.6402 1.43885e-12 
0.836517 2.51703 -8.08242e-14 13.9619 56.4331 1.25411e-12 
0.418258 2.27487 58.7544 7.22977e-13 63.4003 4.83169e-13 
0.331747 2.24897 -4.7339e-12 6.09085e-14 64.6954 5.9508e-13 
0.585562 2.33333 -2.08722e-13 13.499 60.7162 6.0929e-13 
0.50191 2.27209 -2.7045e-13 13.8344 62.5724 4.10338e-13 
0.673473 2.34021 -3.84137e-13 13.5471 59.5415 7.24754e-13 
1.0993 2.51399 -3.85914e-13 13.6365 53.4478 1.29496e-12 
1.01474 2.48436 -3.11307e-13 13.7816 54.4726 1.19016e-12 
1.18729 2.46758 -1.40332e-13 13.7423 52.3402 1.20615e-12 
1.27401 2.43528 -3.70814e-13 13.6148 51.1871 1.45306e-12 
1.42372 2.41095 -2.78444e-13 13.6981 49.1702 8.13571e-13 
1.50925 2.35837 57.644 1.09068e-12 47.8052 1.03562e-12 
1.56173 2.44353 1.48251e-12 4.37196e-14 47.6203 7.21201e-13 
1.69781 2.47335 -2.37588e-13 13.5701 46.2598 5.18696e-13 
0.929447 2.42148 57.1071 1.46727e-12 55.7087 1.10845e-12 
1.85922 2.35442 1.72173e-12 9.0877e-14 43.4721 4.56524e-13 
1.77951 2.41523 -2.7045e-13 13.7912 44.8988 3.49942e-13 
0.24881 2.18779 58.0367 1.42464e-12 66.7173 1.0818e-12 
0.165873 2.12661 -1.24328e-12 3.43777e-15 68.906 1.20615e-12 
0.0829367 2.06543 -4.17444e-13 13.7305 71.2196 1.75682e-12 
0 2.00426 -2.63345e-13 13.6789 73.6408 1.25766e-12 
0.761057 2.33944 -2.23377e-13 14.0686 58.447 1.01252e-12 
0.845619 2.38774 59.208 7.83373e-13 56.95 1.25944e-12 
0.507371 2.19452 -4.97312e-12 1.37511e-14 63.9103 7.17648e-13 
0.422809 2.14622 -2.25153e-13 14.0437 66.0346 9.43245e-13 
0.336736 2.12245 -1.76748e-13 14.1183 67.625 1.10845e-12 
0.591933 2.24283 -1.57208e-13 14.1321 61.9089 3.21521e-13 
0.719753 2.26657 -6.26166e-14 14.1863 59.8019 1.32871e-12 
1.10248 2.41315 -2.30926e-13 14.1908 53.446 1.20082e-12 
1.01768 2.388 59.7135 1.29674e-12 54.647 1.18305e-12 
1.18908 2.38663 -3.01217e-12 1.51785e-13 52.2741 9.34364e-13 
1.28012 2.35622 -2.50466e-13 14.2399 50.952 9.09495e-13 
1.45676 2.2732 -3.01981e-13 14.2564 48.1503 1.01785e-12 
1.37117 2.32581 -2.56684e-13 14.3595 49.5779 7.56728e-13 
1.64115 2.39095 -2.2693e-13 14.2874 46.3219 1.61648e-13 
1.58448 2.30855 60.1206 1.31628e-12 46.5208 5.08038e-13 
1.71876 2.33574 -2.28575e-11 -3.24348e-14 44.9827 6.83897e-13 
0.932869 2.33943 -2.68674e-13 14.3134 56.0273 1.05516e-12 
1.79853 2.27489 -2.94875e-13 14.3861 43.4999 3.21521e-13 
1.93686 2.29098 -1.7053e-13 14.4732 42.0038 3.82805e-13 
2.01233 2.22498 -2.77556e-13 14.4361 40.5033 7.82485e-13 
2.08555 2.15649 60.7429 1.19016e-12 38.9594 5.21361e-13 
1.52782 2.22616 2.45792e-11 1.23312e-13 46.8745 6.37712e-13 
0.253686 2.04961 -2.30926e-13 14.5505 70.6677 7.67386e-13 
0.169124 2.0013 -1.20348e-13 14.0957 73.1338 1.30917e-12 
0.0845619 1.95299 -2.67342e-13 14.1062 75.5936 1.65556e-12 
0 1.90469 -9.05942e-14 13.9459 78.0291 9.96536e-13 
0.848063 2.24986 -1.2923e-13 13.8846 57.9765 9.02389e-13 
0.508838 2.09656 58.4257 1.03384e-12 66.0496 9.02389e-13 
0.593644 2.14514 -7.64831e-13 9.77525e-14 63.6261 1.01252e-12 
0.424031 2.04799 -1.70974e-13 13.8323 68.6732 9.11271e-13 
0.339225 1.99942 -3.11307e-13 14.0132 71.464 1.06226e-12 
0.67845 2.19371 58.9654 9.45022e-13 61.4202 6.05738e-13 
0.763256 2.19543 3.03172e-11 1.18082e-14 60.0031 1.01963e-12 
1.10414 2.33798 -7.68274e-14 14.057 53.5163 7.6561e-13 
1.01921 2.28934 -1.24345e-13 13.9047 54.9725 1.42997e-12 
1.25869 2.26604 -1.26121e-13 13.9765 51.1884 1.17062e-12 
1.16534 2.27275 -1.70974e-13 13.8483 52.6837 1.22569e-12 
1.33596 2.23006 -3.12639e-13 13.3957 49.901 1.15641e-12 
1.40428 2.18804 -3.21965e-13 13.3426 48.6753 1.09424e-12 
1.65801 2.25625 -3.01537e-13 13.4231 45.2008 7.88702e-13 
1.59726 2.17676 56.4865 1.19904e-12 45.5586 7.86926e-13 
1.73784 2.19536 0 0 43.6499 7.79821e-13 
0.934275 2.24069 -2.23821e-13 13.4732 56.6541 1.05338e-12 
1.87228 2.21462 -4.74287e-13 13.1675 42.0558 7.01661e-14 
1.94398 2.15192 -3.07754e-13 13.2249 40.579 4.92051e-13 
2.01355 2.08686 -2.56684e-13 13.3121 39.058 6.4837e-13 
2.08461 2.01604 -3.59712e-13 13.2574 37.4247 8.49987e-13 
