VARIABLES= "x" , "y" , "phir","phii","pr","pi" 
ZONE F=FEPOINT,ET=TRIANGLE,N=11268,E=22174
1 4.15719e-34 0.00875147 -0.00276637 -0.00218094 -0.00689944 
0.961556 6.09929e-34 0.00943808 -0.00298341 -0.00220248 -0.0069676 
0.563671 2.34695e-33 0.00889086 -0.00281043 -0.00220584 -0.00697822 
0.596828 2.21081e-33 0.00911442 -0.0028811 -0.00220889 -0.00698785 
0.331571 2.82793e-33 0.00273955 0.00866662 -0.00218603 -0.00691556 
0.298414 2.8973e-33 0.00283542 0.0089699 -0.00218379 -0.00690847 
0.265257 2.9355e-33 0.00833825 -0.00263575 -0.00218173 -0.00690195 
0.928399 7.81198e-34 0.00857905 -0.00271187 -0.00221079 -0.00699389 
0.895242 9.59398e-34 0.00783291 -0.00247601 -0.00221701 -0.00701357 
0.862084 1.14487e-33 -0.000740131 0.000233958 -0.00222017 -0.00702354 
1.02592 0.0491832 -0.0002239 -0.000708313 -0.00218604 -0.00691559 
0.964087 0.0445942 -0.000217287 -0.000687392 -0.00220679 -0.00698122 
0.729456 1.74386e-33 -0.00121662 0.000384579 -0.00221921 -0.00702053 
0.828927 1.3156e-33 -0.000730855 0.000231026 -0.00222165 -0.00702824 
0.862984 0.0373872 -0.000240491 7.60201e-05 -0.0022214 -0.00702745 
0.79577 1.46749e-33 -0.00119363 0.00037731 -0.00222168 -0.00702833 
0.762613 1.6377e-33 -0.00161738 0.000511258 -0.00222077 -0.00702545 
0.758022 0.0277524 -0.0021151 0.000668592 -0.00222086 -0.00702574 
0.696299 1.8699e-33 -0.0016765 0.000529948 -0.00221707 -0.00701374 
0.629985 2.12876e-33 -0.000504178 -0.00159498 -0.00221179 -0.00699704 
0.663142 2.0261e-33 -0.000506747 -0.00160311 -0.00221459 -0.00700589 
1.05648 0.103091 -0.00253481 0.000801263 -0.00221758 -0.00701535 
0.2321 2.97213e-33 -0.00076249 -0.00241215 -0.00217988 -0.0068961 
0.198943 3.00553e-33 -0.00077195 -0.00244208 -0.00217827 -0.00689101 
0.24471 0.026372 -0.0020418 0.000645419 -0.00218039 -0.0068977 
0.165785 3.03446e-33 -0.00241736 0.000764137 -0.00217689 -0.00688663 
0.624772 0.0363186 -0.00291908 0.000922732 -0.00221136 -0.00699569 
0.530514 2.41637e-33 -0.00391805 0.00123851 -0.00220277 -0.00696852 
0.497356 2.50563e-33 -0.00118017 -0.0037335 -0.00219974 -0.00695891 
0.364728 2.78893e-33 -0.00119909 -0.00379335 -0.00218848 -0.0069233 
0.397885 2.73468e-33 -0.00375541 0.0011871 -0.00219109 -0.00693155 
0.557503 0.0377777 -0.00418636 0.00132332 -0.00220518 -0.00697614 
0.588339 0.0533306 -0.00361106 0.00114147 -0.00220799 -0.00698501 
0.344318 0.0265111 0.0018955 -0.000599174 -0.00218679 -0.00691794 
0.293416 0.035916 0.00299774 -0.000947597 -0.00218318 -0.00690653 
0.923519 0.0437636 0.00232596 -0.000735243 -0.00221536 -0.00700833 
0.893281 0.040599 0.00179638 -0.000567843 -0.00221922 -0.00702056 
0.9975 0.0956053 0.00244897 -0.000774128 -0.00221824 -0.00701746 
0.9585 0.0801492 0.000732995 0.00231884 -0.00221725 -0.00701433 
0.72747 0.0365066 0.000769403 0.00243402 -0.00221934 -0.00702092 
0.857329 0.0824499 0.00027355 -8.647e-05 -0.00222569 -0.00704101 
0.825774 0.0387479 7.86512e-05 0.000248815 -0.00222242 -0.00703068 
0.790408 0.0396869 9.62039e-05 0.000304343 -0.00222228 -0.00703024 
0.753175 0.0570402 0.00135127 -0.000427142 -0.00222129 -0.00702711 
0.691299 0.0534673 0.000402759 0.00127414 -0.00221702 -0.00701358 
0.658539 0.0385004 0.000429619 0.00135911 -0.00221428 -0.00700492 
1.02167 0.153957 -0.000245542 7.76168e-05 -0.00224843 -0.00711294 
1.08782 0.156241 0.000239118 -7.55862e-05 -0.00226132 -0.00715374 
0.257369 0.0527214 0.000755239 -0.000238734 -0.00218067 -0.00689858 
0.211436 0.0256659 0.000806304 -0.000254876 -0.0021787 -0.00689238 
0.178164 0.0258695 0.0012679 -0.000400788 -0.00217723 -0.00688772 
0.223973 0.0513154 0.00665553 -0.00210384 -0.00217891 -0.00689302 
0.0994713 3.0775e-33 0.00200266 0.00633546 -0.00217488 -0.00688026 
0.132628 3.05284e-33 0.00207272 0.0065571 -0.00217582 -0.00688324 
0.144906 0.0252252 0.00632011 -0.00199781 -0.00217602 -0.00688388 
0.0663142 3.08753e-33 0.00616621 -0.00194916 -0.00217427 -0.00687835 
0.620124 0.0765422 0.00711 -0.0022475 -0.00221091 -0.00699425 
0.583838 0.0880426 0.00722167 -0.0022828 -0.00220728 -0.00698278 
